Month,Cases
Mar-21,1200
Apr-21,1400
May-21,1000
Jun-21,650
Jul-21,600
Aug-21,500
Sep-21,300
Oct-21,450
Nov-21,550
Dec-21,540
Jan-22,300
Feb-22,200
Mar-22,100
