Month,Cases
Mar-21,900
Apr-21,800
May-21,1000
Jun-21,550
Jul-21,500
Aug-21,450
Sep-21,400
Oct-21,350
Nov-21,350
Dec-21,140
Jan-22,100
Feb-22,120
Mar-22,100
